[2023/07/24 05:57:51] - Namespace(cGAN=False, arch='ResNet18', target_arch='ResNet18', target_defense='AT_v2', target_dir='./checkpoints/', data='CIFAR100', test_batch_size=500, data_path='~/datasets/', batch_size=512, epochs=300, lr=0.1, momentum=0.9, weight_decay=0.0001, steps_S=500, steps_G=15, lr_G=0.005, lr_z=0.015, gen_dim_z=256, gen_distribution='normal', lr_hee=0.03, steps_hee=10, query_mode='hee', epsilon=0.03137254901960784, num_steps=10, step_size=0.00784313725490196, result_dir='results/GAN', save_freq=50, seed=1, lam=3.0, label_smooth_value=0.02)
[2023/07/24 12:05:09] - Epoch 52 Finish, Time Cost 415, nature_acc 0.4172, robust_acc 0.1379
[2023/07/24 12:12:05] - Epoch 53 Finish, Time Cost 416, nature_acc 0.4058, robust_acc 0.1377
[2023/07/24 12:19:02] - Epoch 54 Finish, Time Cost 416, nature_acc 0.4117, robust_acc 0.1367
[2023/07/24 12:25:58] - Epoch 55 Finish, Time Cost 415, nature_acc 0.4186, robust_acc 0.1405
[2023/07/24 12:32:54] - Epoch 56 Finish, Time Cost 415, nature_acc 0.4230, robust_acc 0.1373
[2023/07/24 12:39:51] - Epoch 57 Finish, Time Cost 416, nature_acc 0.4254, robust_acc 0.1369
[2023/07/24 12:46:48] - Epoch 58 Finish, Time Cost 417, nature_acc 0.4249, robust_acc 0.1447
[2023/07/24 12:53:45] - Epoch 59 Finish, Time Cost 416, nature_acc 0.4219, robust_acc 0.1347
[2023/07/24 13:00:41] - Epoch 60 Finish, Time Cost 416, nature_acc 0.4200, robust_acc 0.1358
[2023/07/24 13:07:37] - Epoch 61 Finish, Time Cost 415, nature_acc 0.4228, robust_acc 0.1403
[2023/07/24 13:14:33] - Epoch 62 Finish, Time Cost 415, nature_acc 0.4261, robust_acc 0.1371
[2023/07/24 13:21:29] - Epoch 63 Finish, Time Cost 415, nature_acc 0.4285, robust_acc 0.1437
[2023/07/24 13:28:24] - Epoch 64 Finish, Time Cost 415, nature_acc 0.4267, robust_acc 0.1427
[2023/07/24 13:35:20] - Epoch 65 Finish, Time Cost 416, nature_acc 0.4275, robust_acc 0.1481
[2023/07/24 13:42:18] - Epoch 66 Finish, Time Cost 416, nature_acc 0.4302, robust_acc 0.1430
[2023/07/24 13:49:14] - Epoch 67 Finish, Time Cost 415, nature_acc 0.4292, robust_acc 0.1439
[2023/07/24 13:56:09] - Epoch 68 Finish, Time Cost 415, nature_acc 0.4396, robust_acc 0.1472
[2023/07/24 14:03:05] - Epoch 69 Finish, Time Cost 415, nature_acc 0.4393, robust_acc 0.1465
[2023/07/24 14:10:00] - Epoch 70 Finish, Time Cost 414, nature_acc 0.4391, robust_acc 0.1469
[2023/07/24 14:16:56] - Epoch 71 Finish, Time Cost 415, nature_acc 0.4346, robust_acc 0.1464
[2023/07/24 14:23:51] - Epoch 72 Finish, Time Cost 415, nature_acc 0.4398, robust_acc 0.1482
[2023/07/24 14:30:46] - Epoch 73 Finish, Time Cost 415, nature_acc 0.4425, robust_acc 0.1465
[2023/07/24 14:37:43] - Epoch 74 Finish, Time Cost 416, nature_acc 0.4376, robust_acc 0.1498
[2023/07/24 14:44:40] - Epoch 75 Finish, Time Cost 417, nature_acc 0.4467, robust_acc 0.1477
[2023/07/24 14:51:36] - Epoch 76 Finish, Time Cost 416, nature_acc 0.4455, robust_acc 0.1494
[2023/07/24 14:58:32] - Epoch 77 Finish, Time Cost 415, nature_acc 0.4402, robust_acc 0.1423
[2023/07/24 15:05:27] - Epoch 78 Finish, Time Cost 415, nature_acc 0.4389, robust_acc 0.1469
[2023/07/24 15:12:22] - Epoch 79 Finish, Time Cost 414, nature_acc 0.4396, robust_acc 0.1527
[2023/07/24 15:19:17] - Epoch 80 Finish, Time Cost 415, nature_acc 0.4344, robust_acc 0.1455
[2023/07/24 15:26:12] - Epoch 81 Finish, Time Cost 415, nature_acc 0.4438, robust_acc 0.1512
[2023/07/24 15:33:07] - Epoch 82 Finish, Time Cost 414, nature_acc 0.4370, robust_acc 0.1457
[2023/07/24 15:40:00] - Epoch 83 Finish, Time Cost 413, nature_acc 0.4412, robust_acc 0.1469
[2023/07/24 15:46:54] - Epoch 84 Finish, Time Cost 413, nature_acc 0.4414, robust_acc 0.1553
[2023/07/24 15:53:47] - Epoch 85 Finish, Time Cost 413, nature_acc 0.4411, robust_acc 0.1500
[2023/07/24 16:00:41] - Epoch 86 Finish, Time Cost 414, nature_acc 0.4488, robust_acc 0.1535
[2023/07/24 16:07:35] - Epoch 87 Finish, Time Cost 413, nature_acc 0.4451, robust_acc 0.1483
[2023/07/24 16:14:29] - Epoch 88 Finish, Time Cost 414, nature_acc 0.4479, robust_acc 0.1499
[2023/07/24 16:21:24] - Epoch 89 Finish, Time Cost 414, nature_acc 0.4435, robust_acc 0.1513
[2023/07/24 16:28:19] - Epoch 90 Finish, Time Cost 415, nature_acc 0.4426, robust_acc 0.1468
[2023/07/24 16:35:15] - Epoch 91 Finish, Time Cost 416, nature_acc 0.4475, robust_acc 0.1525
[2023/07/24 16:42:11] - Epoch 92 Finish, Time Cost 416, nature_acc 0.4495, robust_acc 0.1520
[2023/07/24 16:49:08] - Epoch 93 Finish, Time Cost 416, nature_acc 0.4455, robust_acc 0.1567
[2023/07/24 16:56:04] - Epoch 94 Finish, Time Cost 416, nature_acc 0.4518, robust_acc 0.1517
[2023/07/24 17:03:00] - Epoch 95 Finish, Time Cost 415, nature_acc 0.4496, robust_acc 0.1532
[2023/07/24 17:09:55] - Epoch 96 Finish, Time Cost 414, nature_acc 0.4440, robust_acc 0.1515
[2023/07/24 17:16:49] - Epoch 97 Finish, Time Cost 414, nature_acc 0.4567, robust_acc 0.1574
[2023/07/24 17:23:43] - Epoch 98 Finish, Time Cost 414, nature_acc 0.4514, robust_acc 0.1530
[2023/07/24 17:30:37] - Epoch 99 Finish, Time Cost 413, nature_acc 0.4574, robust_acc 0.1536
[2023/07/24 17:37:31] - Epoch 100 Finish, Time Cost 413, nature_acc 0.4469, robust_acc 0.1564
[2023/07/24 17:44:26] - Epoch 101 Finish, Time Cost 415, nature_acc 0.4514, robust_acc 0.1573
[2023/07/24 17:51:20] - Epoch 102 Finish, Time Cost 413, nature_acc 0.4579, robust_acc 0.1570
[2023/07/24 17:58:14] - Epoch 103 Finish, Time Cost 413, nature_acc 0.4490, robust_acc 0.1567
[2023/07/24 18:05:08] - Epoch 104 Finish, Time Cost 413, nature_acc 0.4546, robust_acc 0.1574
[2023/07/24 18:12:02] - Epoch 105 Finish, Time Cost 413, nature_acc 0.4569, robust_acc 0.1587
[2023/07/24 18:18:55] - Epoch 106 Finish, Time Cost 413, nature_acc 0.4539, robust_acc 0.1574
[2023/07/24 18:25:49] - Epoch 107 Finish, Time Cost 413, nature_acc 0.4531, robust_acc 0.1558
[2023/07/24 18:32:43] - Epoch 108 Finish, Time Cost 414, nature_acc 0.4574, robust_acc 0.1547
[2023/07/24 18:39:39] - Epoch 109 Finish, Time Cost 415, nature_acc 0.4586, robust_acc 0.1584
[2023/07/24 18:46:35] - Epoch 110 Finish, Time Cost 415, nature_acc 0.4635, robust_acc 0.1588
[2023/07/24 18:53:29] - Epoch 111 Finish, Time Cost 414, nature_acc 0.4517, robust_acc 0.1547
[2023/07/24 19:00:24] - Epoch 112 Finish, Time Cost 414, nature_acc 0.4664, robust_acc 0.1621
[2023/07/24 19:07:18] - Epoch 113 Finish, Time Cost 413, nature_acc 0.4623, robust_acc 0.1628
[2023/07/24 19:14:11] - Epoch 114 Finish, Time Cost 413, nature_acc 0.4607, robust_acc 0.1584
[2023/07/24 19:21:05] - Epoch 115 Finish, Time Cost 414, nature_acc 0.4571, robust_acc 0.1583
[2023/07/24 19:27:59] - Epoch 116 Finish, Time Cost 414, nature_acc 0.4666, robust_acc 0.1644
[2023/07/24 19:34:54] - Epoch 117 Finish, Time Cost 414, nature_acc 0.4591, robust_acc 0.1580
[2023/07/24 19:41:49] - Epoch 118 Finish, Time Cost 415, nature_acc 0.4593, robust_acc 0.1597
[2023/07/24 19:48:44] - Epoch 119 Finish, Time Cost 414, nature_acc 0.4571, robust_acc 0.1592
[2023/07/24 19:55:37] - Epoch 120 Finish, Time Cost 413, nature_acc 0.4616, robust_acc 0.1569
[2023/07/24 20:02:31] - Epoch 121 Finish, Time Cost 413, nature_acc 0.4640, robust_acc 0.1596
[2023/07/24 20:09:25] - Epoch 122 Finish, Time Cost 413, nature_acc 0.4669, robust_acc 0.1628
[2023/07/24 20:16:19] - Epoch 123 Finish, Time Cost 414, nature_acc 0.4671, robust_acc 0.1624
[2023/07/24 20:23:13] - Epoch 124 Finish, Time Cost 413, nature_acc 0.4688, robust_acc 0.1635
[2023/07/24 20:30:07] - Epoch 125 Finish, Time Cost 413, nature_acc 0.4664, robust_acc 0.1585
[2023/07/24 20:37:03] - Epoch 126 Finish, Time Cost 415, nature_acc 0.4633, robust_acc 0.1621
[2023/07/24 20:43:59] - Epoch 127 Finish, Time Cost 416, nature_acc 0.4666, robust_acc 0.1627
[2023/07/24 20:50:54] - Epoch 128 Finish, Time Cost 415, nature_acc 0.4613, robust_acc 0.1624
[2023/07/24 20:57:48] - Epoch 129 Finish, Time Cost 414, nature_acc 0.4654, robust_acc 0.1648
[2023/07/24 21:04:43] - Epoch 130 Finish, Time Cost 414, nature_acc 0.4631, robust_acc 0.1651
[2023/07/24 21:11:37] - Epoch 131 Finish, Time Cost 414, nature_acc 0.4725, robust_acc 0.1664
[2023/07/24 21:18:31] - Epoch 132 Finish, Time Cost 413, nature_acc 0.4657, robust_acc 0.1624
