[2023/07/24 05:36:38] - Namespace(cGAN=False, arch='ResNet18', target_arch='ResNet18', target_defense='AT_v2', target_dir='./checkpoints/', data='CIFAR10', test_batch_size=500, data_path='~/datasets/', batch_size=256, epochs=300, lr=0.1, momentum=0.9, weight_decay=0.0001, steps_S=500, steps_G=10, lr_G=0.002, lr_z=0.01, gen_dim_z=256, gen_distribution='normal', lr_hee=0.03, steps_hee=10, query_mode='hee', epsilon=0.03137254901960784, num_steps=10, step_size=0.00784313725490196, result_dir='results/GAN', save_freq=50, seed=1, lam=3.0, label_smooth_value=0.2)
[2023/07/24 05:43:23] - Epoch 1 Finish, Time Cost 399, nature_acc 0.1346, robust_acc 0.0603
[2023/07/24 05:48:30] - Epoch 2 Finish, Time Cost 307, nature_acc 0.2229, robust_acc 0.0869
[2023/07/24 05:53:07] - Epoch 3 Finish, Time Cost 276, nature_acc 0.2108, robust_acc 0.0961
[2023/07/24 05:57:28] - Epoch 4 Finish, Time Cost 260, nature_acc 0.2403, robust_acc 0.1215
[2023/07/24 06:01:41] - Epoch 5 Finish, Time Cost 252, nature_acc 0.3295, robust_acc 0.1157
[2023/07/24 06:05:48] - Epoch 6 Finish, Time Cost 247, nature_acc 0.3436, robust_acc 0.1350
[2023/07/24 06:09:51] - Epoch 7 Finish, Time Cost 243, nature_acc 0.3918, robust_acc 0.1430
[2023/07/24 06:13:52] - Epoch 8 Finish, Time Cost 240, nature_acc 0.3965, robust_acc 0.1306
[2023/07/24 06:17:50] - Epoch 9 Finish, Time Cost 238, nature_acc 0.4627, robust_acc 0.1537
[2023/07/24 06:21:46] - Epoch 10 Finish, Time Cost 235, nature_acc 0.4285, robust_acc 0.1684
[2023/07/24 06:25:41] - Epoch 11 Finish, Time Cost 234, nature_acc 0.4492, robust_acc 0.1616
[2023/07/24 06:29:34] - Epoch 12 Finish, Time Cost 232, nature_acc 0.4814, robust_acc 0.1707
[2023/07/24 06:33:26] - Epoch 13 Finish, Time Cost 231, nature_acc 0.4939, robust_acc 0.1682
[2023/07/24 06:37:17] - Epoch 14 Finish, Time Cost 231, nature_acc 0.4987, robust_acc 0.1805
[2023/07/24 06:41:08] - Epoch 15 Finish, Time Cost 230, nature_acc 0.5045, robust_acc 0.1919
[2023/07/24 06:44:59] - Epoch 16 Finish, Time Cost 229, nature_acc 0.5236, robust_acc 0.1948
[2023/07/24 06:48:48] - Epoch 17 Finish, Time Cost 228, nature_acc 0.5349, robust_acc 0.1974
[2023/07/24 06:52:36] - Epoch 18 Finish, Time Cost 228, nature_acc 0.5537, robust_acc 0.2098
[2023/07/24 06:56:24] - Epoch 19 Finish, Time Cost 227, nature_acc 0.5459, robust_acc 0.1998
[2023/07/24 07:00:11] - Epoch 20 Finish, Time Cost 226, nature_acc 0.5356, robust_acc 0.2017
[2023/07/24 07:03:57] - Epoch 21 Finish, Time Cost 226, nature_acc 0.5562, robust_acc 0.2102
[2023/07/24 07:07:43] - Epoch 22 Finish, Time Cost 226, nature_acc 0.5750, robust_acc 0.2152
[2023/07/24 07:11:29] - Epoch 23 Finish, Time Cost 225, nature_acc 0.5406, robust_acc 0.2073
[2023/07/24 07:15:14] - Epoch 24 Finish, Time Cost 225, nature_acc 0.5673, robust_acc 0.2225
[2023/07/24 07:18:59] - Epoch 25 Finish, Time Cost 224, nature_acc 0.5882, robust_acc 0.2225
[2023/07/24 07:22:44] - Epoch 26 Finish, Time Cost 224, nature_acc 0.5748, robust_acc 0.2215
[2023/07/24 07:26:28] - Epoch 27 Finish, Time Cost 224, nature_acc 0.5704, robust_acc 0.2294
[2023/07/24 07:30:12] - Epoch 28 Finish, Time Cost 224, nature_acc 0.5956, robust_acc 0.2290
[2023/07/24 07:33:57] - Epoch 29 Finish, Time Cost 224, nature_acc 0.5864, robust_acc 0.2377
[2023/07/24 07:37:42] - Epoch 30 Finish, Time Cost 224, nature_acc 0.5985, robust_acc 0.2388
[2023/07/24 07:41:27] - Epoch 31 Finish, Time Cost 225, nature_acc 0.5819, robust_acc 0.2360
[2023/07/24 07:45:11] - Epoch 32 Finish, Time Cost 224, nature_acc 0.5919, robust_acc 0.2245
[2023/07/24 07:48:55] - Epoch 33 Finish, Time Cost 224, nature_acc 0.6084, robust_acc 0.2402
[2023/07/24 07:52:40] - Epoch 34 Finish, Time Cost 223, nature_acc 0.5996, robust_acc 0.2425
[2023/07/24 07:56:24] - Epoch 35 Finish, Time Cost 224, nature_acc 0.6066, robust_acc 0.2462
[2023/07/24 08:00:08] - Epoch 36 Finish, Time Cost 223, nature_acc 0.5962, robust_acc 0.2309
[2023/07/24 08:03:51] - Epoch 37 Finish, Time Cost 223, nature_acc 0.6141, robust_acc 0.2498
[2023/07/24 08:07:36] - Epoch 38 Finish, Time Cost 223, nature_acc 0.6166, robust_acc 0.2447
[2023/07/24 08:11:19] - Epoch 39 Finish, Time Cost 223, nature_acc 0.6418, robust_acc 0.2523
[2023/07/24 08:15:03] - Epoch 40 Finish, Time Cost 223, nature_acc 0.6123, robust_acc 0.2475
[2023/07/24 08:18:47] - Epoch 41 Finish, Time Cost 223, nature_acc 0.6321, robust_acc 0.2504
[2023/07/24 08:22:30] - Epoch 42 Finish, Time Cost 223, nature_acc 0.6275, robust_acc 0.2352
[2023/07/24 08:26:14] - Epoch 43 Finish, Time Cost 223, nature_acc 0.6260, robust_acc 0.2499
[2023/07/24 08:29:57] - Epoch 44 Finish, Time Cost 223, nature_acc 0.6334, robust_acc 0.2573
[2023/07/24 08:33:42] - Epoch 45 Finish, Time Cost 224, nature_acc 0.6333, robust_acc 0.2598
[2023/07/24 08:37:26] - Epoch 46 Finish, Time Cost 223, nature_acc 0.6561, robust_acc 0.2636
[2023/07/24 08:41:10] - Epoch 47 Finish, Time Cost 224, nature_acc 0.6362, robust_acc 0.2466
[2023/07/24 08:44:54] - Epoch 48 Finish, Time Cost 223, nature_acc 0.6439, robust_acc 0.2469
[2023/07/24 08:48:37] - Epoch 49 Finish, Time Cost 223, nature_acc 0.6382, robust_acc 0.2548
[2023/07/24 08:52:19] - Epoch 50 Finish, Time Cost 222, nature_acc 0.6325, robust_acc 0.2698
